0,1,2,3
0,0,149.0,329.5
1,16,249.0,216.5
2,26,129.5,345.0
0,0,142.0,381.0
1,16,245.0,277.0
2,26,121.0,397.5
0,0,153.5,392.5
1,16,253.5,280.5
2,26,133.0,412.5
0,0,160.5,357.0
1,16,257.0,230.0
2,26,144.5,373.0
0,0,114.0,329.5
1,16,225.0,214.0
2,26,97.0,345.0
0,0,174.0,401.0
1,16,257.5,280.5
2,26,153.5,421.0
0,0,141.5,389.5
1,16,252.5,280.5
2,26,121.0,404.5
0,0,145.5,409.5
1,16,257.0,289.0
2,26,125.0,429.0
0,0,161.5,365.0
1,16,257.5,244.5
2,26,141.5,385.0
0,0,169.0,357.0
1,16,261.5,226.0
2,26,152.5,373.0
0,0,165.0,341.5
1,16,244.5,221.5
2,26,145.0,361.0
0,0,194.0,345.0
1,16,269.0,205.0
2,26,177.5,365.5
0,0,137.0,365.0
1,16,241.0,265.5
2,26,125.0,373.0
0,0,185.0,345.5
1,16,260.5,220.5
2,26,168.5,365.0
0,0,182.0,348.5
1,16,258.0,221.5
2,26,166.0,365.5
0,0,169.0,377.0
1,16,245.0,277.0
2,26,149.0,393.0
0,0,154.0,382.0
1,16,242.0,288.5
2,26,137.0,397.5
0,0,165.5,382.0
1,16,257.5,260.5
2,26,149.5,397.0
0,0,153.5,393.0
1,16,249.5,289.5
2,26,133.5,406.0
0,0,154.0,378.0
1,16,249.0,273.5
2,26,136.5,397.0
0,0,169.0,353.5
1,16,257.0,216.5
2,26,153.0,373.0
0,0,137.0,377.0
1,16,238.0,276.5
2,26,113.0,392.5
0,0,177.0,337.5
1,16,265.0,208.5
2,26,161.0,353.5
0,0,190.0,369.0
1,16,249.0,258.0
2,26,177.0,381.0
0,0,173.5,384.5
1,16,253.0,268.5
2,26,153.5,401.0
0,0,169.5,377.5
1,16,241.5,269.0
2,26,149.5,394.0
0,0,160.5,372.5
1,16,252.5,265.0
2,26,138.0,389.5
0,0,145.0,325.0
1,16,249.5,206.0
2,26,129.0,341.0
0,0,148.5,361.5
1,16,241.5,274.0
2,26,129.5,377.5
0,0,136.5,333.5
1,16,249.0,230.0
2,26,117.0,349.5
0,0,129.5,325.0
1,16,240.5,214.0
2,26,113.0,337.5
0,0,149.5,333.5
1,16,233.5,209.0
2,26,129.5,353.0
0,0,153.0,378.0
1,16,253.5,273.0
2,26,130.0,398.0
0,0,149.0,378.0
1,16,238.0,269.0
2,26,129.0,397.5
0,0,137.5,409.0
1,16,245.5,294.5
2,26,117.5,429.0
0,0,173.0,340.5
1,16,253.0,206.0
2,26,157.0,357.0
0,0,153.5,370.0
1,16,250.0,262.0
2,26,136.5,385.0
0,0,161.0,313.0
1,16,258.0,197.0
2,26,141.0,333.0
