predicted class,x,y
Nasion,416.5,161
Sella,297.5,172.5
Porion,253.5,213.5
Orbitale,397.5,217.5
Pterygoid,326,209.5
Basion,249.5,257
ANS,421.5,269.5
PNS,325.5,265
A point,409.5,281.5
B point,397.5,369
Protuberance menti,397,385
Pogonion,397,393
Menton,385.5,409.5
Go-1 Corpuus left,289,341
Go-2 Ramus down,273,261
Articulare,269,237
R3,301.5,250
R1,325.5,289
Maxilla 1 crown,417,329.5
Maxilla 1 root,402,285.5
Mandible 1 crown,410,325
Mandible 1 root,394,361.5
Maxilla 6 distal,349.5,309.5
Maxilla 6 root,361,277.5
Mandible 6 distal,349,317
Mandible 6 root,341.5,345
Glabella,429.5,137.5
Soft tissue naison,425.5,177
Dorsum of nose,454,237.5
pronasale,461.5,257.5
Colunella,453,273
Subnasalle,437.5,278
Soft tissue A point,433,285
Labrale superius,437.5,305.5
Upper lip,440,313.5
Stms,429.5,325.5
Upper embrasure,417.5,325.5
Lower embrasure,417,329.5
Stmi,425,329
Lower lip,433,341.5
Labial Inferius,429,349
Soft tissue b point,421,365
Soft tissue pogonion,417,393.5
Soft tissue Gnathion,409,413.5
Soft tissue Menton,385.5,421.5
Cervical point,321,421
Nasion,425.5,157.5
Sella,293.5,189
Porion,245.5,225
Orbitale,406,217
Pterygoid,329,217
Basion,237.5,269
ANS,437.5,269.5
PNS,329.5,273.5
A point,425.5,285
B point,401.5,369.5
Protuberance menti,402,385.5
Pogonion,401,393.5
Menton,389.5,409.5
Go-1 Corpuus left,289,349.5
Go-2 Ramus down,268.5,269.5
Articulare,261.5,249
R3,302,261
R1,329,297
Maxilla 1 crown,433,336.5
Maxilla 1 root,418,289.5
Mandible 1 crown,421.5,330
Mandible 1 root,401.5,361.5
Maxilla 6 distal,353,313.5
Maxilla 6 root,369,285
Mandible 6 distal,353,320.5
Mandible 6 root,345.5,349
Glabella,441,137
Soft tissue naison,437,174
Dorsum of nose,469.5,229.5
pronasale,478,254
Colunella,468.5,273.5
Subnasalle,453,281.5
Soft tissue A point,453.5,289
Labrale superius,457,309.5
Upper lip,457,321.5
Stms,449,332.5
Upper embrasure,433.5,330
Lower embrasure,429.5,333.5
Stmi,441,333.5
Lower lip,449,349.5
Labial Inferius,445,357
Soft tissue b point,429.5,369
Soft tissue pogonion,428.5,393.5
Soft tissue Gnathion,417,413
Soft tissue Menton,389.5,421
Cervical point,329,429.5
Nasion,418,178
Sella,292.5,201
Porion,258,233
Orbitale,401.5,229.5
Pterygoid,329,230
Basion,253.5,269
ANS,425,281.5
PNS,332.5,281
A point,417,293
B point,417.5,369.5
Protuberance menti,425,385
Pogonion,425.5,393.5
Menton,413.5,409.5
Go-1 Corpuus left,301.5,357.5
Go-2 Ramus down,276.5,276.5
Articulare,269,253.5
R3,309,272.5
R1,337.5,308.5
Maxilla 1 crown,429.5,337
Maxilla 1 root,409.5,297
Mandible 1 crown,426,333
Mandible 1 root,414,365.5
Maxilla 6 distal,361,321.5
Maxilla 6 root,369,293.5
Mandible 6 distal,361.5,329
Mandible 6 root,361,357
Glabella,433.5,157
Soft tissue naison,429.5,194
Dorsum of nose,453.5,249.5
pronasale,461.5,266
Colunella,453.5,281.5
Subnasalle,441,289
Soft tissue A point,437.5,293
Labrale superius,445.5,309.5
Upper lip,453,317.5
Stms,441.5,329.5
Upper embrasure,429.5,330
Lower embrasure,429.5,337
Stmi,441.5,333
Lower lip,453,345
Labial Inferius,449,353
Soft tissue b point,445,369.5
Soft tissue pogonion,449,397.5
Soft tissue Gnathion,437,417
Soft tissue Menton,413,425
Cervical point,341.5,429.5
Nasion,425.5,157
Sella,293.5,168.5
Porion,249,213
Orbitale,405.5,217
Pterygoid,329.5,205
Basion,245.5,253.5
ANS,429.5,273
PNS,333,269
A point,421,285.5
B point,413,373.5
Protuberance menti,413.5,389.5
Pogonion,413,401
Menton,401.5,417.5
Go-1 Corpuus left,289.5,345.5
Go-2 Ramus down,273,260.5
Articulare,265,237.5
R3,306,253
R1,333.5,293
Maxilla 1 crown,433.5,337
Maxilla 1 root,413.5,289
Mandible 1 crown,425.5,333
Mandible 1 root,410,369.5
Maxilla 6 distal,361,314
Maxilla 6 root,369,281.5
Mandible 6 distal,360.5,320.5
Mandible 6 root,353,349
Glabella,444.5,134
Soft tissue naison,437,177.5
Dorsum of nose,466,233.5
pronasale,477,257.5
Colunella,469,273
Subnasalle,449,281.5
Soft tissue A point,445,288.5
Labrale superius,453.5,305.5
Upper lip,457,317.5
Stms,449,329
Upper embrasure,433.5,330
Lower embrasure,429.5,333
Stmi,445.5,329.5
Lower lip,453.5,345
Labial Inferius,449,353
Soft tissue b point,441.5,369.5
Soft tissue pogonion,441,397.5
Soft tissue Gnathion,425,421
Soft tissue Menton,401.5,429
Cervical point,329,417.5
Nasion,416.5,157
Sella,290,184.5
Porion,253.5,225
Orbitale,404,213
Pterygoid,329.5,216.5
Basion,253.5,269
ANS,433.5,266
PNS,337,273
A point,425.5,281
B point,413,361
Protuberance menti,413.5,377.5
Pogonion,413.5,389.5
Menton,401.5,405.5
Go-1 Corpuus left,297,357
Go-2 Ramus down,277,273
Articulare,269,249.5
R3,308.5,264.5
R1,341.5,301
Maxilla 1 crown,437,329
Maxilla 1 root,417.5,285
Mandible 1 crown,430,325.5
Mandible 1 root,410,357.5
Maxilla 6 distal,369,309.5
Maxilla 6 root,376.5,282
Mandible 6 distal,369,317
Mandible 6 root,361,349
Glabella,429,133.5
Soft tissue naison,425,174
Dorsum of nose,457.5,229.5
pronasale,468.5,250
Colunella,460.5,269
Subnasalle,445,273.5
Soft tissue A point,445,281
Labrale superius,453,301.5
Upper lip,457,313.5
Stms,449,325.5
Upper embrasure,437.5,325.5
Lower embrasure,433,329
