predicted class,x,y
Nasion,330.0,145.5
Sella,205.0,173.5
Porion,165.5,209.5
Orbitale,314.0,205.0
Pterygoid,241.0,205.0
Basion,161.5,253.0
ANS,349.5,257.0
PNS,245.0,261.0
A point,341.5,269.0
B point,333.5,349.5
Protuberance menti,333.5,369.5
Pogonion,333.0,377.0
Menton,321.5,393.0
Go-1 Corpuus left,209.0,349.5
Go-2 Ramus down,181.5,257.0
Articulare,177.5,237.5
R3,217.0,249.5
R1,249.0,289.0
Maxilla 1 crown,357.5,317.0
Maxilla 1 root,334.0,273.0
Mandible 1 crown,349.5,313.5
Mandible 1 root,330.0,345.5
Maxilla 6 distal,280.5,306.0
Maxilla 6 root,289.0,277.5
Mandible 6 distal,281.0,313.0
Mandible 6 root,277.5,341.5
Glabella,345.0,129.5
Soft tissue naison,341.5,161.5
Dorsum of nose,381.0,217.0
pronasale,389.5,241.5
Colunella,381.0,257.5
Subnasalle,365.5,265.0
Soft tissue A point,365.5,269.0
Labrale superius,373.5,289.5
Upper lip,380.5,297.5
Stms,373.5,313.0
Upper embrasure,361.5,310.0
Lower embrasure,357.5,317.0
Stmi,369.5,313.0
Lower lip,381.0,325.0
Labial Inferius,377.0,333.0
Soft tissue b point,361.0,349.0
Soft tissue pogonion,361.0,373.5
Soft tissue Gnathion,349.0,393.0
Soft tissue Menton,325.0,405.0
Cervical point,265.0,425.0
Nasion,381.5,145.0
Sella,260.5,173.5
Porion,222.0,209.5
Orbitale,369.0,197.5
Pterygoid,293.5,201.5
Basion,221.5,249.0
ANS,405.0,246.0
PNS,301.5,253.0
A point,397.0,261.0
B point,385.5,345.0
Protuberance menti,385.0,357.5
Pogonion,385.0,369.5
Menton,370.0,381.5
Go-1 Corpuus left,273.0,333.5
Go-2 Ramus down,245.0,253.0
Articulare,237.0,233.5
R3,277.0,245.0
R1,305.5,281.5
Maxilla 1 crown,409.5,308.5
Maxilla 1 root,389.5,264.5
Mandible 1 crown,401.5,305.0
Mandible 1 root,381.5,337.5
Maxilla 6 distal,333.0,293.5
Maxilla 6 root,341.5,265.0
Mandible 6 distal,333.0,301.0
Mandible 6 root,326.0,329.0
Glabella,397.0,121.5
Soft tissue naison,397.0,161.5
Dorsum of nose,436.5,209.5
pronasale,445.0,229.5
Colunella,437.0,246.0
Subnasalle,421.0,253.0
Soft tissue A point,421.0,261.0
Labrale superius,429.5,281.5
Upper lip,432.5,289.5
Stms,425.0,301.0
Upper embrasure,409.5,302.0
Lower embrasure,405.5,305.0
Stmi,421.0,304.5
Lower lip,429.0,317.0
Labial Inferius,425.0,325.5
Soft tissue b point,412.5,341.5
Soft tissue pogonion,409.0,361.0
Soft tissue Gnathion,393.5,385.0
Soft tissue Menton,373.5,397.0
Cervical point,321.0,397.0
Nasion,393.0,153.5
Sella,265.5,177.0
Porion,225.5,217.5
Orbitale,378.0,208.5
Pterygoid,305.5,209.0
Basion,221.5,261.0
ANS,413.5,257.5
PNS,309.0,261.5
A point,401.5,273.5
B point,393.0,353.5
Protuberance menti,390.0,369.0
Pogonion,393.0,381.0
Menton,378.0,397.5
Go-1 Corpuus left,273.0,361.5
Go-2 Ramus down,245.0,265.5
Articulare,241.0,241.5
R3,277.5,257.0
R1,310.0,293.5
Maxilla 1 crown,413.5,320.5
Maxilla 1 root,398.0,277.0
Mandible 1 crown,409.5,317.5
Mandible 1 root,389.0,345.5
Maxilla 6 distal,341.0,309.5
Maxilla 6 root,349.5,277.5
Mandible 6 distal,341.0,317.0
Mandible 6 root,337.0,345.0
Glabella,412.5,133.5
Soft tissue naison,405.5,169.5
Dorsum of nose,441.5,225.0
pronasale,452.5,245.5
Colunella,445.0,261.5
Subnasalle,429.5,265.5
Soft tissue A point,429.5,273.5
Labrale superius,437.0,297.5
Upper lip,441.0,305.5
Stms,433.0,317.0
Upper embrasure,417.5,314.0
Lower embrasure,413.5,320.5
Stmi,425.0,320.5
Lower lip,433.5,333.0
Labial Inferius,432.5,341.0
Soft tissue b point,417.0,353.5
Soft tissue pogonion,417.0,381.0
Soft tissue Gnathion,405.0,401.0
Soft tissue Menton,381.0,413.0
Cervical point,333.0,421.0
Nasion,356.5,160.5
Sella,221.5,173.0
Porion,169.5,221.0
Orbitale,337.5,217.0
Pterygoid,261.5,213.0
Basion,169.5,261.0
ANS,365.5,265.5
PNS,265.0,266.0
A point,357.5,281.0
B point,337.5,365.0
Protuberance menti,333.5,377.0
Pogonion,333.0,389.5
Menton,317.5,401.5
Go-1 Corpuus left,217.5,345.0
Go-2 Ramus down,193.5,265.0
Articulare,189.0,245.5
R3,229.5,254.0
R1,265.5,293.0
Maxilla 1 crown,369.0,332.5
Maxilla 1 root,349.5,285.5
Mandible 1 crown,362.0,329.0
Mandible 1 root,333.5,357.5
Maxilla 6 distal,293.0,309.5
Maxilla 6 root,301.5,280.5
Mandible 6 distal,293.0,317.0
Mandible 6 root,281.0,345.0
Glabella,373.0,145.0
Soft tissue naison,365.5,173.5
Dorsum of nose,396.5,229.5
pronasale,405.0,249.5
Colunella,401.0,265.0
Subnasalle,385.5,273.5
Soft tissue A point,385.0,281.0
Labrale superius,393.0,297.5
Upper lip,401.0,309.0
Stms,389.0,325.5
Upper embrasure,373.0,326.0
Lower embrasure,369.0,332.5
Stmi,385.0,325.5
Lower lip,392.5,341.0
Labial Inferius,385.0,353.0
Soft tissue b point,369.5,365.0
Soft tissue pogonion,361.0,385.0
Soft tissue Gnathion,349.0,405.0
Soft tissue Menton,317.0,413.0
Cervical point,261.5,429.0
Nasion,329.5,117.5
Sella,197.5,152.5
Porion,165.5,197.5
Orbitale,313.0,177.5
Pterygoid,237.5,181.5
Basion,169.0,241.0
ANS,345.5,225.5
PNS,245.5,237.5
A point,337.0,241.0
B point,337.0,325.5
Protuberance menti,337.0,341.5
Pogonion,341.5,353.5
Menton,329.5,369.5
Go-1 Corpuus left,221.5,317.5
Go-2 Ramus down,189.0,241.0
Articulare,181.0,221.5
R3,217.0,225.5
R1,249.5,257.0
Maxilla 1 crown,349.0,289.0
Maxilla 1 root,329.5,245.5
Mandible 1 crown,342.0,285.0
Mandible 1 root,329.5,321.5
Maxilla 6 distal,277.5,274.0
Maxilla 6 root,281.0,245.5
Mandible 6 distal,277.5,281.5
Mandible 6 root,273.5,313.5
Glabella,345.5,97.5
Soft tissue naison,341.0,133.5
Dorsum of nose,377.5,185.5
pronasale,389.0,209.5
Colunella,381.0,225.5
Subnasalle,365.0,233.5
Soft tissue A point,361.5,237.0
Labrale superius,373.0,257.5
Upper lip,377.0,269.5
Stms,365.5,285.0
Upper embrasure,349.5,282.0
Lower embrasure,345.5,289.0
Stmi,361.0,285.5
Lower lip,369.0,297.5
Labial Inferius,368.5,309.5
Soft tissue b point,357.5,321.5
Soft tissue pogonion,365.0,349.0
Soft tissue Gnathion,361.0,373.5
Soft tissue Menton,337.5,385.0
Cervical point,261.5,397.0
Nasion,400.5,173.5
Sella,273.5,185.0
Porion,225.5,213.0
Orbitale,377.0,229.0
Pterygoid,309.0,218.0
Basion,225.5,253.5
ANS,401.0,277.5
PNS,309.5,269.0
A point,389.0,285.5
B point,369.0,357.5
Protuberance menti,365.5,369.0
Pogonion,365.5,377.5
Menton,353.5,393.5
Go-1 Corpuus left,257.5,341.0
Go-2 Ramus down,245.0,261.0
Articulare,241.0,241.5
R3,281.0,257.5
R1,305.5,289.0
Maxilla 1 crown,393.5,329.0
Maxilla 1 root,381.5,289.0
Mandible 1 crown,385.5,325.5
Mandible 1 root,365.5,349.5
Maxilla 6 distal,325.0,301.5
Maxilla 6 root,341.5,273.5
Mandible 6 distal,321.5,309.0
Mandible 6 root,310.0,337.5
Glabella,418.0,153.5
Soft tissue naison,409.0,190.0
Dorsum of nose,438.0,245.5
pronasale,445.0,265.5
Colunella,437.0,277.5
Subnasalle,417.0,285.5
Soft tissue A point,413.0,289.5
Labrale superius,417.0,305.5
Upper lip,420.5,317.5
Stms,409.5,325.5
Upper embrasure,397.0,325.5
Lower embrasure,393.5,329.0
Stmi,405.0,329.0
Lower lip,412.5,340.5
Labial Inferius,405.0,349.0
Soft tissue b point,393.0,357.0
Soft tissue pogonion,389.5,377.5
Soft tissue Gnathion,377.0,397.0
Soft tissue Menton,353.5,405.0
Cervical point,301.0,413.5
Nasion,389.5,141.0
Sella,269.5,169.0
Porion,229.0,209.5
Orbitale,373.5,201.0
Pterygoid,301.5,201.0
Basion,225.5,253.5
ANS,405.0,249.5
PNS,309.0,257.0
A point,393.5,265.5
B point,389.0,349.0
Protuberance menti,393.0,365.5
Pogonion,393.0,373.0
Menton,382.0,389.5
Go-1 Corpuus left,273.0,349.5
Go-2 Ramus down,245.0,261.0
Articulare,241.0,237.0
R3,277.5,250.0
R1,310.0,289.0
Maxilla 1 crown,409.0,312.5
Maxilla 1 root,386.0,269.0
Mandible 1 crown,401.5,309.0
Mandible 1 root,386.0,345.5
Maxilla 6 distal,337.0,297.5
Maxilla 6 root,345.0,265.0
Mandible 6 distal,336.5,305.0
Mandible 6 root,333.5,341.5
Glabella,405.0,121.5
Soft tissue naison,401.5,157.5
Dorsum of nose,441.5,213.5
pronasale,450.0,237.5
Colunella,441.5,253.5
Subnasalle,421.5,261.5
Soft tissue A point,421.5,265.5
Labrale superius,425.5,285.0
Upper lip,429.0,297.5
Stms,421.0,309.5
Upper embrasure,409.5,306.5
Lower embrasure,405.0,313.0
Stmi,417.0,309.5
Lower lip,425.0,325.5
Labial Inferius,425.0,333.5
Soft tissue b point,413.0,345.0
Soft tissue pogonion,417.0,373.0
Soft tissue Gnathion,405.0,397.5
Soft tissue Menton,385.0,405.0
Cervical point,329.0,433.0
Nasion,412.0,145.0
Sella,281.5,169.0
Porion,229.5,209.0
Orbitale,393.0,205.0
Pterygoid,318.0,205.0
Basion,230.0,253.5
ANS,421.0,257.0
PNS,321.5,261.5
A point,413.0,269.5
B point,409.5,357.5
Protuberance menti,413.0,373.0
Pogonion,417.0,385.5
Menton,405.5,401.5
Go-1 Corpuus left,281.0,361.0
Go-2 Ramus down,253.0,265.0
Articulare,245.0,237.5
R3,290.0,257.0
R1,321.0,297.5
Maxilla 1 crown,421.0,320.5
Maxilla 1 root,405.5,277.0
Mandible 1 crown,414.0,317.5
Mandible 1 root,405.5,353.5
Maxilla 6 distal,353.0,310.0
Maxilla 6 root,361.0,277.5
Mandible 6 distal,353.5,317.0
Mandible 6 root,350.5,349.5
Glabella,429.0,125.0
Soft tissue naison,421.5,161.5
Dorsum of nose,461.0,217.5
pronasale,466.5,245.5
Colunella,457.0,261.0
Subnasalle,437.0,265.5
Soft tissue A point,437.5,273.0
Labrale superius,441.0,289.5
Upper lip,445.0,301.5
Stms,437.5,313.5
Upper embrasure,421.0,313.5
Lower embrasure,421.0,320.5
Stmi,433.0,316.5
Lower lip,441.0,325.0
Labial Inferius,441.5,337.0
Soft tissue b point,437.0,353.0
Soft tissue pogonion,445.0,377.0
Soft tissue Gnathion,437.0,405.0
Soft tissue Menton,409.5,417.0
Cervical point,337.5,437.0
Nasion,365.5,161.0
Sella,229.5,180.5
Porion,189.5,217.5
Orbitale,349.5,217.0
Pterygoid,269.0,213.5
Basion,185.5,261.0
ANS,377.0,269.5
PNS,273.5,266.0
A point,369.0,281.5
B point,361.5,361.0
Protuberance menti,361.5,373.5
Pogonion,365.0,385.0
Menton,353.5,401.5
Go-1 Corpuus left,229.5,353.5
Go-2 Ramus down,209.0,269.0
Articulare,205.0,245.0
R3,245.0,257.0
R1,277.0,293.0
Maxilla 1 crown,381.5,328.5
Maxilla 1 root,362.0,285.0
Mandible 1 crown,374.0,325.0
Mandible 1 root,362.0,353.5
Maxilla 6 distal,313.0,309.5
Maxilla 6 root,321.0,281.5
Mandible 6 distal,313.0,317.0
Mandible 6 root,309.5,345.0
Glabella,381.0,141.5
Soft tissue naison,377.5,177.0
Dorsum of nose,413.0,233.5
pronasale,421.5,261.0
Colunella,413.0,277.0
Subnasalle,393.0,281.5
Soft tissue A point,393.5,285.0
Labrale superius,397.0,305.5
Upper lip,400.5,313.5
Stms,393.0,325.5
Upper embrasure,381.5,322.5
Lower embrasure,377.5,325.5
Stmi,389.5,325.0
Lower lip,397.0,337.0
Labial Inferius,393.0,345.0
Soft tissue b point,385.0,357.0
Soft tissue pogonion,388.5,385.5
Soft tissue Gnathion,377.0,405.0
Soft tissue Menton,353.5,413.0
Cervical point,297.0,417.5
Nasion,357.0,169.0
Sella,221.5,181.0
Porion,173.5,217.5
Orbitale,333.0,225.5
Pterygoid,257.5,216.5
Basion,169.0,261.5
ANS,361.5,277.5
PNS,257.5,273.0
A point,353.0,289.0
B point,333.0,377.0
Protuberance menti,330.0,393.0
Pogonion,329.5,405.0
Menton,317.5,421.5
Go-1 Corpuus left,213.5,357.0
Go-2 Ramus down,193.0,272.5
Articulare,185.0,245.5
R3,228.0,261.5
R1,257.0,301.0
Maxilla 1 crown,357.0,344.5
Maxilla 1 root,346.0,293.0
Mandible 1 crown,350.0,341.0
Mandible 1 root,329.5,369.5
Maxilla 6 distal,281.5,317.5
Maxilla 6 root,297.0,289.0
Mandible 6 distal,285.0,325.0
Mandible 6 root,277.5,353.5
Glabella,372.5,153.0
Soft tissue naison,369.5,185.5
Dorsum of nose,400.5,241.5
pronasale,409.0,265.5
Colunella,396.5,281.0
Subnasalle,377.0,285.5
Soft tissue A point,377.0,293.0
Labrale superius,385.0,313.5
Upper lip,385.0,325.5
Stms,373.0,341.5
Upper embrasure,361.5,338.0
Lower embrasure,353.0,345.0
Stmi,369.5,341.5
Lower lip,377.0,357.0
Labial Inferius,373.5,365.0
Soft tissue b point,361.0,381.0
Soft tissue pogonion,360.5,405.5
Soft tissue Gnathion,345.0,425.5
Soft tissue Menton,317.5,437.0
Cervical point,245.5,437.0
Nasion,345.0,162.0
Sella,213.5,173.0
Porion,169.5,209.0
Orbitale,325.0,217.5
Pterygoid,245.0,209.5
Basion,165.5,249.5
ANS,353.5,269.5
PNS,249.5,265.0
A point,345.0,285.0
B point,325.0,361.5
Protuberance menti,321.5,377.5
Pogonion,321.0,385.5
Menton,305.5,401.5
Go-1 Corpuus left,205.5,329.0
Go-2 Ramus down,189.0,257.0
Articulare,185.0,233.5
R3,221.0,245.0
R1,249.0,281.0
Maxilla 1 crown,357.5,333.0
Maxilla 1 root,338.0,289.0
Mandible 1 crown,349.5,325.5
Mandible 1 root,325.0,353.5
Maxilla 6 distal,273.0,302.0
Maxilla 6 root,285.0,277.0
Mandible 6 distal,277.0,313.0
Mandible 6 root,261.5,337.0
Glabella,361.5,145.5
Soft tissue naison,353.5,177.0
Dorsum of nose,385.5,233.5
pronasale,397.0,253.5
Colunella,389.5,269.5
Subnasalle,373.5,277.5
Soft tissue A point,373.0,285.0
Labrale superius,381.0,301.5
Upper lip,385.0,309.5
Stms,377.0,325.0
Upper embrasure,361.0,325.5
Lower embrasure,357.5,328.5
Stmi,369.0,325.5
Lower lip,377.0,337.0
Labial Inferius,373.0,349.5
Soft tissue b point,357.5,361.0
Soft tissue pogonion,353.0,381.0
Soft tissue Gnathion,337.0,401.5
Soft tissue Menton,305.5,412.5
Cervical point,241.5,417.0
